Artist,Country,Type,Gender,Rating,Tags
ROSÉ,KR,Person,Female,"{'value': 5, 'votes-count': 1}","[{'count': 2, 'name': 'k-pop'}, {'count': 1, 'name': 'korean ballad'}]"
Bruno Mars,US,Person,Male,"{'value': 3.75, 'votes-count': 4}","[{'name': '2010s', 'count': 1}, {'count': 4, 'name': 'funk'}, {'count': 1, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 10}, {'count': 2, 'name': 'r&b'}, {'count': 1, 'name': 'relic inn'}, {'count': 1, 'name': 'rock'}, {'count': 1, 'name': 'soul'}]"
Mariah Carey,US,Person,Female,"{'votes-count': 13, 'value': 4.4}","[{'count': 1, 'name': '1990s'}, {'count': 1, 'name': '2000s'}, {'count': 1, 'name': '90s'}, {'name': 'adult contemporary', 'count': 1}, {'count': 3, 'name': 'christmas music'}, {'name': 'contemporary r&b', 'count': 8}, {'name': 'dance-pop', 'count': 6}, {'count': 1, 'name': 'easy listening'}, {'name': 'english', 'count': 1}, {'count': 1, 'name': 'hip hop'}, {'count': 11, 'name': 'pop'}, {'count': 1, 'name': 'pop soul'}, {'name': 'quiet storm', 'count': 1}, {'name': 'r&b', 'count': 1}, {'count': 5, 'name': 'soul'}]"
Wham!,GB,Group,,"{'value': 4.65, 'votes-count': 3}","[{'name': 'christmas music', 'count': 1}, {'name': 'dance-pop', 'count': 2}, {'count': 4, 'name': 'pop'}, {'name': 'queer', 'count': 1}]"
Lady Gaga,US,Person,Female,"{'value': 4.25, 'votes-count': 21}","[{'count': 1, 'name': '2000s'}, {'count': 2, 'name': '2010s'}, {'count': 1, 'name': '2020s'}, {'name': 'adult contemporary', 'count': 1}, {'count': 1, 'name': 'americana'}, {'count': 2, 'name': 'dance'}, {'name': 'dance-pop', 'count': 15}, {'name': 'electro house', 'count': 1}, {'count': 6, 'name': 'electronic'}, {'count': 12, 'name': 'electropop'}, {'name': 'film soundtrack', 'count': 1}, {'name': 'jazz', 'count': 1}, {'count': 1, 'name': 'late 2000s'}, {'count': 18, 'name': 'pop'}, {'count': 9, 'name': 'pop rock'}, {'name': 'synth-pop', 'count': 4}, {'name': 'synthpop', 'count': 3}]"
Bruno Mars,US,Person,Male,"{'votes-count': 4, 'value': 3.75}","[{'count': 1, 'name': '2010s'}, {'count': 4, 'name': 'funk'}, {'count': 1, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 10}, {'name': 'r&b', 'count': 2}, {'count': 1, 'name': 'relic inn'}, {'name': 'rock', 'count': 1}, {'name': 'soul', 'count': 1}]"
Brenda Lee,,Person,Female,"{'votes-count': 2, 'value': 4.5}","[{'name': '2008 universal fire victim', 'count': 1}, {'name': 'american', 'count': 1}, {'count': 1, 'name': 'classic pop and rock'}, {'count': 2, 'name': 'country'}, {'name': 'pop', 'count': 4}, {'count': 1, 'name': 'rock'}, {'name': 'rock and roll', 'count': 1}, {'name': 'rockabilly', 'count': 1}]"
Bobby Helms,US,Person,Male,"{'value': 3, 'votes-count': 1}","[{'name': '2008 universal fire victim', 'count': 1}, {'count': 1, 'name': 'christmas music'}, {'name': 'country', 'count': 1}, {'count': 1, 'name': 'rockabilly'}]"
Billie Eilish,US,Person,Female,"{'votes-count': 9, 'value': 3.65}","[{'count': 1, 'name': '2010s'}, {'name': '2020s', 'count': 1}, {'name': 'alt-pop', 'count': 2}, {'count': 12, 'name': 'alternative pop'}, {'count': 4, 'name': 'alternative r&b'}, {'name': 'art pop', 'count': 3}, {'name': 'bedroom pop', 'count': 2}, {'name': 'contemporary r&b', 'count': 2}, {'name': 'dark pop', 'count': 7}, {'count': 1, 'name': 'electronic'}, {'name': 'electropop', 'count': 11}, {'name': 'indie pop', 'count': 2}, {'count': 3, 'name': 'pity pop'}, {'name': 'pop', 'count': 6}, {'name': 'pop rock', 'count': 1}, {'name': 'queer', 'count': 1}, {'name': 'singer-songwriter', 'count': 3}]"
Ariana Grande,US,Person,Female,"{'votes-count': 11, 'value': 4.25}","[{'count': 2, 'name': 'contemporary r&b'}, {'name': 'dance-pop', 'count': 3}, {'name': 'pop', 'count': 18}, {'count': 5, 'name': 'r&b'}, {'count': 1, 'name': 'trap soul'}]"
Gracie Abrams,US,Person,Female,"{'votes-count': 0, 'value': None}","[{'count': 1, 'name': 'bedroom pop'}, {'count': 2, 'name': 'folk pop'}, {'count': 1, 'name': 'pop'}, {'count': 1, 'name': 'singer-songwriter'}]"
Kelly Clarkson,US,Person,Female,"{'votes-count': 2, 'value': 4.5}","[{'count': 1, 'name': 'music for soccer moms'}, {'count': 4, 'name': 'pop'}, {'name': 'pop rock', 'count': 1}]"
Michael Bublé,CA,Person,Male,"{'value': 4, 'votes-count': 3}","[{'name': 'big band', 'count': 1}, {'count': 2, 'name': 'canadian'}, {'count': 1, 'name': 'crazy love'}, {'count': 1, 'name': 'easy listening'}, {'name': 'easy listening soundtracks and musicals', 'count': 1}, {'name': 'jazz', 'count': 5}, {'count': 1, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 1}, {'name': 'swing', 'count': 1}]"
Dean Martin,US,Person,Male,"{'value': 3.65, 'votes-count': 6}","[{'count': 1, 'name': 'big band'}, {'count': 1, 'name': 'christmas music'}, {'name': 'country pop', 'count': 1}, {'count': 4, 'name': 'pop'}, {'count': 1, 'name': 'standards'}, {'count': 1, 'name': 'traditional pop'}, {'name': 'vocal jazz', 'count': 1}]"
Kendrick Lamar,US,Person,Male,"{'value': 4.1, 'votes-count': 9}","[{'count': 1, 'name': 'alternative hip hop'}, {'count': 8, 'name': 'conscious hip hop'}, {'name': 'hardcore hip hop', 'count': 4}, {'count': 13, 'name': 'hip hop'}, {'name': 'jazz rap', 'count': 7}, {'count': 3, 'name': 'pop'}, {'count': 2, 'name': 'pop rap'}, {'name': 'rap', 'count': 3}, {'name': 'trap', 'count': 1}, {'name': 'west coast hip hop', 'count': 6}]"
SZA,US,Person,Female,"{'votes-count': 0, 'value': None}","[{'count': 1, 'name': 'alternative r&b'}, {'count': 1, 'name': 'american'}, {'name': 'contemporary r&b', 'count': 2}, {'count': 1, 'name': 'electronic'}, {'name': 'hip hop soul', 'count': 1}, {'count': 1, 'name': 'neo soul'}, {'count': 1, 'name': 'pop'}, {'count': 2, 'name': 'r&b'}]"
Andy Williams,US,Person,Male,"{'value': 3.5, 'votes-count': 2}","[{'count': 1, 'name': 'christmas music'}, {'name': 'easy listening', 'count': 1}, {'name': 'easy listening soundtracks and musicals', 'count': 1}, {'name': 'jazz', 'count': 1}]"
José Feliciano,US,Person,Male,"{'value': 4.25, 'votes-count': 4}","[{'count': 1, 'name': 'acoustic guitar'}, {'count': 2, 'name': 'bolero'}, {'name': 'christmas music', 'count': 1}, {'count': 1, 'name': 'folk pop'}, {'name': 'latin', 'count': 1}, {'count': 2, 'name': 'latin pop'}, {'count': 1, 'name': 'latin soul'}, {'count': 1, 'name': 'pop'}]"
Sia,AU,Person,Female,"{'value': 4.9, 'votes-count': 10}","[{'count': 1, 'name': 'alternative pop'}, {'name': 'art pop', 'count': 1}, {'name': 'australian', 'count': 2}, {'count': 4, 'name': 'dance-pop'}, {'count': 6, 'name': 'electropop'}, {'count': 4, 'name': 'indie pop'}, {'count': 9, 'name': 'pop'}]"
The Ronettes,US,Group,,"{'value': 5, 'votes-count': 1}","[{'count': 1, 'name': 'baroque pop'}, {'name': 'brill building', 'count': 1}, {'name': 'girl group', 'count': 1}, {'count': 2, 'name': 'pop'}, {'name': 'pop soul', 'count': 1}]"
Sabrina Carpenter,US,Person,Female,"{'value': 5, 'votes-count': 4}","[{'count': 1, 'name': 'alternative pop'}, {'name': 'electropop', 'count': 1}, {'name': 'pop', 'count': 4}]"
Benson Boone,US,Person,Male,"{'votes-count': 0, 'value': None}","[{'name': 'pop', 'count': 2}, {'count': 1, 'name': 'pop rock'}]"
Burl Ives,US,Person,Male,"{'votes-count': 0, 'value': None}","[{'name': '2008 universal fire victim', 'count': 1}, {'count': 1, 'name': 'american'}, {'count': 2, 'name': 'christmas music'}, {'name': 'classic pop and rock', 'count': 1}]"
Kendrick Lamar,US,Person,Male,"{'value': 4.1, 'votes-count': 9}","[{'count': 1, 'name': 'alternative hip hop'}, {'count': 8, 'name': 'conscious hip hop'}, {'name': 'hardcore hip hop', 'count': 4}, {'count': 13, 'name': 'hip hop'}, {'name': 'jazz rap', 'count': 7}, {'count': 3, 'name': 'pop'}, {'count': 2, 'name': 'pop rap'}, {'name': 'rap', 'count': 3}, {'name': 'trap', 'count': 1}, {'name': 'west coast hip hop', 'count': 6}]"
Lefty GunPlay,,Person,Male,"{'value': None, 'votes-count': 0}",[]
Nat Cole,JM,Person,Male,"{'value': None, 'votes-count': 0}",[]
ROSÉ,KR,Person,Female,"{'value': 5, 'votes-count': 1}","[{'name': 'k-pop', 'count': 2}, {'count': 1, 'name': 'korean ballad'}]"
Teddy Swims,US,Person,Male,"{'value': 4, 'votes-count': 1}","[{'count': 1, 'name': 'alternative rock'}, {'name': 'country', 'count': 1}, {'count': 1, 'name': 'rhythm & blues'}, {'name': 'rock', 'count': 1}, {'count': 1, 'name': 'soul'}]"
Jimin,KR,Person,Male,"{'votes-count': 1, 'value': 5}","[{'count': 1, 'name': 'ballad'}, {'count': 1, 'name': 'dance-pop'}, {'count': 1, 'name': 'edm'}, {'count': 1, 'name': 'pop'}, {'name': 'r&b', 'count': 1}]"
The Weeknd,CA,Person,Male,"{'value': 4.85, 'votes-count': 7}","[{'count': 2, 'name': '2010s'}, {'count': 2, 'name': '2020s'}, {'count': 4, 'name': 'alternative r&b'}, {'name': 'contemporary r&b', 'count': 5}, {'count': 3, 'name': 'dance-pop'}, {'count': 1, 'name': 'hypnagogic pop'}, {'name': 'r&b', 'count': 7}, {'name': 'synth-pop', 'count': 3}]"
Playboi Carti,US,Person,Male,"{'value': 4, 'votes-count': 1}","[{'count': 3, 'name': 'cloud rap'}, {'count': 2, 'name': 'english'}, {'count': 6, 'name': 'hip hop'}, {'count': 3, 'name': 'plugg'}, {'name': 'rage', 'count': 2}, {'count': 4, 'name': 'rap'}, {'count': 4, 'name': 'southern hip hop'}, {'count': 5, 'name': 'trap'}]"
Gigi Perez,,Person,Female,"{'votes-count': 1, 'value': 5}","[{'name': 'indie folk', 'count': 1}, {'count': 1, 'name': 'indie pop'}, {'name': 'queer', 'count': 1}]"
Billie Eilish,US,Person,Female,"{'value': 3.65, 'votes-count': 9}","[{'name': '2010s', 'count': 1}, {'count': 1, 'name': '2020s'}, {'name': 'alt-pop', 'count': 2}, {'count': 12, 'name': 'alternative pop'}, {'count': 4, 'name': 'alternative r&b'}, {'count': 3, 'name': 'art pop'}, {'count': 2, 'name': 'bedroom pop'}, {'count': 2, 'name': 'contemporary r&b'}, {'count': 7, 'name': 'dark pop'}, {'count': 1, 'name': 'electronic'}, {'count': 11, 'name': 'electropop'}, {'name': 'indie pop', 'count': 2}, {'name': 'pity pop', 'count': 3}, {'count': 6, 'name': 'pop'}, {'name': 'pop rock', 'count': 1}, {'name': 'queer', 'count': 1}, {'count': 3, 'name': 'singer-songwriter'}]"
Chappell Roan,US,Person,Female,"{'value': 5, 'votes-count': 2}","[{'count': 4, 'name': 'alternative pop'}, {'count': 4, 'name': 'dance-pop'}, {'name': 'gay pop', 'count': 2}, {'count': 3, 'name': 'indie pop'}, {'count': 3, 'name': 'pop'}, {'name': 'queer', 'count': 7}, {'count': 6, 'name': 'synth-pop'}]"
Paul McCartney,GB,Person,Male,"{'value': 4.65, 'votes-count': 6}","[{'name': '70s', 'count': 1}, {'name': '80s', 'count': 1}, {'name': '90s', 'count': 1}, {'name': 'british', 'count': 3}, {'name': 'classic pop and rock', 'count': 1}, {'count': 1, 'name': 'classical'}, {'count': 1, 'name': 'composer'}, {'name': 'english', 'count': 1}, {'count': 1, 'name': 'folk'}, {'count': 1, 'name': 'grammy winner'}, {'name': 'male vocalists', 'count': 1}, {'name': 'pop', 'count': 8}, {'name': 'pop rock', 'count': 5}, {'count': 1, 'name': 'pop soul'}, {'count': 1, 'name': 'pop/rock'}, {'count': 3, 'name': 'rock'}, {'count': 3, 'name': 'rock & roll'}, {'name': 'rock and roll', 'count': 2}, {'name': 'singer-songwriter', 'count': 2}, {'name': 'singer/songwriter', 'count': 2}, {'count': 1, 'name': 'soft rock'}, {'count': 1, 'name': 'standards'}, {'name': 'synthpop', 'count': 1}, {'name': 'the beatles', 'count': 1}, {'name': 'uk', 'count': 1}, {'count': 1, 'name': 'united kingdom'}, {'name': 'western classical music', 'count': 1}]"
Ed Sheeran,GB,Person,Male,"{'votes-count': 5, 'value': 4.4}","[{'count': 1, 'name': '2010s'}, {'count': 3, 'name': 'dance-pop'}, {'count': 3, 'name': 'folk'}, {'name': 'folk pop', 'count': 5}, {'count': 2, 'name': 'guitarist'}, {'name': 'music for soccer moms', 'count': 2}, {'count': 9, 'name': 'pop'}, {'count': 2, 'name': 'singer'}, {'name': 'singer-songwriter', 'count': 2}, {'name': 'uk', 'count': 2}]"
Elton John,GB,Person,Male,"{'votes-count': 13, 'value': 4.1}","[{'name': '2008 universal fire victim', 'count': 1}, {'name': 'adult contemporary', 'count': 4}, {'name': 'british', 'count': 2}, {'count': 8, 'name': 'piano rock'}, {'name': 'pop', 'count': 12}, {'name': 'pop rock', 'count': 8}, {'count': 4, 'name': 'rock'}, {'name': 'rock and roll', 'count': 2}, {'count': 2, 'name': 'singer-songwriter'}, {'name': 'singer/songwriter', 'count': 2}, {'name': 'soft rock', 'count': 2}]"
Oscar Maydon,,,,"{'votes-count': 0, 'value': None}",[]
Fuerza Regida,MX,Group,,"{'value': 5, 'votes-count': 1}","[{'count': 1, 'name': 'regional mexicano'}]"
Lola Young,GB,Person,Female,"{'value': None, 'votes-count': 0}",[]
Sabrina Carpenter,US,Person,Female,"{'votes-count': 4, 'value': 5}","[{'count': 1, 'name': 'alternative pop'}, {'name': 'electropop', 'count': 1}, {'name': 'pop', 'count': 4}]"
Kendrick Lamar,US,Person,Male,"{'value': 4.1, 'votes-count': 9}","[{'name': 'alternative hip hop', 'count': 1}, {'count': 8, 'name': 'conscious hip hop'}, {'count': 4, 'name': 'hardcore hip hop'}, {'name': 'hip hop', 'count': 13}, {'count': 7, 'name': 'jazz rap'}, {'name': 'pop', 'count': 3}, {'count': 2, 'name': 'pop rap'}, {'name': 'rap', 'count': 3}, {'count': 1, 'name': 'trap'}, {'name': 'west coast hip hop', 'count': 6}]"
KAROL G,CO,Person,Female,"{'value': 2.5, 'votes-count': 2}","[{'name': 'latin', 'count': 1}, {'count': 1, 'name': 'latin urban'}, {'count': 1, 'name': 'r&b'}, {'count': 2, 'name': 'reggaeton'}, {'name': 'spanish', 'count': 1}]"
Justin Bieber,CA,Person,Male,"{'votes-count': 16, 'value': 3.25}","[{'count': 2, 'name': '2010s'}, {'name': '2020s', 'count': 2}, {'count': 19, 'name': 'pop'}, {'count': 9, 'name': 'teen pop'}]"
Darlene Love,US,Person,Female,"{'votes-count': 0, 'value': None}","[{'name': 'likedis auto', 'count': 1}, {'name': 'pop', 'count': 1}]"
Michael Bublé,CA,Person,Male,"{'votes-count': 3, 'value': 4}","[{'count': 1, 'name': 'big band'}, {'count': 2, 'name': 'canadian'}, {'count': 1, 'name': 'crazy love'}, {'count': 1, 'name': 'easy listening'}, {'name': 'easy listening soundtracks and musicals', 'count': 1}, {'count': 5, 'name': 'jazz'}, {'count': 1, 'name': 'music for soccer moms'}, {'count': 1, 'name': 'pop'}, {'name': 'swing', 'count': 1}]"
Sabrina Carpenter,US,Person,Female,"{'votes-count': 4, 'value': 5}","[{'count': 1, 'name': 'alternative pop'}, {'name': 'electropop', 'count': 1}, {'name': 'pop', 'count': 4}]"
Shaboozey,US,Person,Male,"{'value': None, 'votes-count': 0}","[{'count': 1, 'name': 'country'}, {'count': 1, 'name': 'hip hop'}]"
Mitchell Ayres and His Orchestra,US,Group,,"{'votes-count': 0, 'value': None}",[]
Chuck Berry,US,Person,Male,"{'votes-count': 6, 'value': 4.65}","[{'count': 3, 'name': 'blues'}, {'name': 'blues rock', 'count': 2}, {'name': 'classic rock', 'count': 1}, {'count': 3, 'name': 'rhythm & blues'}, {'name': 'rhythm and blues', 'count': 1}, {'name': 'rock', 'count': 4}, {'count': 2, 'name': 'rock & roll'}, {'name': 'rock and roll', 'count': 7}, {'name': 'rock-and-roll', 'count': 1}, {'name': 'rockabilly', 'count': 2}, {'count': 1, 'name': 'soul'}]"
Stromae,BE,Person,Male,"{'value': 4, 'votes-count': 7}","[{'count': 1, 'name': 'art pop'}, {'count': 6, 'name': 'dance-pop'}, {'count': 3, 'name': 'electro house'}, {'count': 5, 'name': 'electropop'}, {'count': 1, 'name': 'french pop'}, {'count': 1, 'name': 'hip house'}]"
Pomme,FR,Person,Female,"{'value': 3.5, 'votes-count': 2}","[{'name': 'ambient pop', 'count': 1}, {'count': 1, 'name': 'chamber folk'}, {'name': 'chamber pop', 'count': 1}, {'count': 5, 'name': 'chanson française'}, {'name': 'folk pop', 'count': 1}, {'name': 'singer-songwriter', 'count': 1}]"
Frank Sinatra,US,Person,Male,"{'value': 4.1, 'votes-count': 10}","[{'name': 'big band', 'count': 2}, {'count': 1, 'name': 'christmas'}, {'count': 2, 'name': 'christmas music'}, {'name': 'easy listening', 'count': 1}, {'name': 'jazz', 'count': 9}, {'name': 'standards', 'count': 2}, {'count': 7, 'name': 'swing'}, {'count': 4, 'name': 'traditional pop'}, {'count': 1, 'name': 'vocal'}, {'count': 5, 'name': 'vocal jazz'}]"
Gordon Jenkins,US,Person,Male,"{'value': None, 'votes-count': 0}","[{'count': 1, 'name': '2008 universal fire victim'}]"
Sabrina Carpenter,US,Person,Female,"{'value': 5, 'votes-count': 4}","[{'count': 1, 'name': 'alternative pop'}, {'name': 'electropop', 'count': 1}, {'name': 'pop', 'count': 4}]"
John Williams,US,Person,Male,"{'value': 4.75, 'votes-count': 8}","[{'count': 1, 'name': '2008 universal fire victim'}, {'name': 'academy award winner', 'count': 1}, {'name': 'american', 'count': 1}, {'name': 'american composer', 'count': 1}, {'name': 'classical', 'count': 8}, {'name': 'composer', 'count': 5}, {'count': 3, 'name': 'conductor'}, {'name': 'contemporary classical', 'count': 2}, {'name': 'easy listening soundtracks and musicals', 'count': 1}, {'name': 'film', 'count': 1}, {'name': 'film composer', 'count': 4}, {'name': 'film score', 'count': 1}, {'count': 1, 'name': 'film soundtrack'}, {'name': 'game', 'count': 1}, {'count': 1, 'name': 'grammy winner'}, {'count': 1, 'name': 'jazz'}, {'count': 2, 'name': 'modern classical'}, {'count': 4, 'name': 'orchestral'}, {'count': 1, 'name': 'pianist'}, {'count': 1, 'name': 'saga'}, {'name': 'score', 'count': 3}, {'count': 1, 'name': 'server name'}, {'count': 12, 'name': 'soundtrack'}, {'name': 'soundtracks', 'count': 1}, {'name': 'star wars', 'count': 1}, {'count': 1, 'name': 'suboptimal credits'}, {'name': 'vgm', 'count': 1}, {'count': 1, 'name': 'video game'}, {'count': 1, 'name': 'western classical'}]"
Plastic Ono Band,GB,Group,,"{'value': None, 'votes-count': 0}","[{'count': 1, 'name': 'rock'}]"
Rauw Alejandro,PR,Person,Male,"{'value': 5, 'votes-count': 1}","[{'count': 2, 'name': 'hip hop'}, {'name': 'latin', 'count': 4}, {'name': 'latin urban', 'count': 4}, {'name': 'reggaeton', 'count': 2}, {'name': 'trap latino', 'count': 2}]"
Romeo Santos,US,Person,Male,"{'value': 5, 'votes-count': 1}","[{'name': 'bachata', 'count': 2}, {'name': 'latin', 'count': 2}, {'count': 1, 'name': 'música tropical'}]"
Rauw Alejandro,PR,Person,Male,"{'value': 5, 'votes-count': 1}","[{'count': 2, 'name': 'hip hop'}, {'name': 'latin', 'count': 4}, {'name': 'latin urban', 'count': 4}, {'count': 2, 'name': 'reggaeton'}, {'count': 2, 'name': 'trap latino'}]"
